Pathway,Score_Androgen,Score_EGFR,Score_Estrogen,Score_Hypoxia,Score_JAK-STAT,Score_MAPK,Score_NFkB,Score_p53,Score_PI3K,Score_TGFb,Score_TNFa,Score_Trail,Score_VEGF,Score_WNT
Alanine Metabolism,-1.44783044,-1.709577924,-0.132573583,-0.916734323,-0.308104316,-2.32404103,-0.772835968,-0.783075731,-0.255772877,-0.343882058,-0.811683668,-0.014304397,-0.403424612,-0.92329716
Alpha Linolenic Acid and Linoleic Acid Metabolism,-0.835439694,-0.303291846,-0.446776762,-0.523497927,-0.429821467,-0.076553469,-0.412997538,-0.584814332,-0.492687336,-0.966259102,-0.434652343,-0.432235562,-0.24712014,-0.680162868
Amino Sugar Metabolism,-0.860847317,-0.983813451,-0.081588721,-0.035699919,-0.48859104,-1.048498172,-0.285968403,-4.036167478,-0.258944645,-0.108488259,-0.164869671,-0.258944645,-0.650099529,-0.969355516
Ammonia Recycling,-0.301400576,-0.778288244,-1.170884285,-0.213153674,-0.440248981,-1.492001173,-0.110211423,-1.645076377,-0.324247608,-0.440090893,-0.160948974,-1.077525489,-0.806065581,-0.443209167
Androgen and Estrogen Metabolism,-0.155336322,-0.228065149,-0.802167259,-0.357248734,-0.265879877,-0.472384707,-0.874011986,-3.530246961,-0.150827325,-0.543582065,-0.977540009,-0.812453144,-0.611172275,-3.026087549
Androstenedione Metabolism,-0.130465097,-0.165632261,-1.155527756,-0.324757203,-0.363539342,-0.367647817,-0.666790305,-4.391052934,-0.194504449,-0.663432803,-0.521097682,-0.474205248,-0.450484947,-1.065652911
Arachidonic Acid Metabolism,-0.910807389,-0.526111175,-2.606019591,-1.029424543,-0.616518721,-0.297093905,-0.670602095,-0.97052591,-0.983175896,-1.557480135,-0.692167958,-1.796269786,-0.42333342,-2.235945623
Arginine and Proline Metabolism,-1.221179352,-1.362438317,-1.072403887,-0.540299368,-0.125054352,-2.862142814,-0.112535616,-1.550646245,-0.41054279,-0.330865828,-0.098861562,-0.04803461,-0.88076232,-0.591709573
Aspartate Metabolism,-0.745662597,-1.578728727,-1.149203169,-0.396396743,-0.392855172,-3.209792933,-0.06413724,-1.745365009,-0.300111306,-0.136602562,-0.130208333,-0.0771208,-1.203892932,-0.491536904
Beta Oxidation of Very Long Chain Fatty Acids,-0.726578832,-0.712974134,-0.527651087,-0.742745978,-0.263068493,-1.014181519,-0.132518112,-0.588272764,-0.564938043,-1.100984956,-0.090823532,-0.284998777,-0.588272764,-1.04999258
beta-Alanine Metabolism,-0.881335504,-0.744011675,-1.193770187,-0.227577979,-0.144658315,-1.867803766,-0.078112639,-1.908765196,-0.488058496,-0.014350583,-0.097442378,-0.188644449,-1.230369207,-0.393210303
Betaine Metabolism,-0.158087315,-0.381124683,-1.22243158,-0.463166688,-0.762209137,-0.585323066,-0.739186153,-1.32146646,-0.457321973,-0.506154637,-0.836379684,-1.008401143,-0.819859135,-0.457699328
Bile Acid Biosynthesis,-0.78942086,-0.303487067,-2.056149781,-0.850665774,-0.829753833,-0.339365475,-1.092953451,-0.67899601,-1.510345485,-0.903939466,-1.143885977,-2.924687952,-0.660119674,-0.80193374
Biotin Metabolism,-0.193425033,-0.660786451,-0.03581718,-0.184873248,-0.326667933,-1.183665196,-0.295922901,-0.342027688,-0.016922705,-0.150018095,-0.270882398,-0.111578767,-0.183062428,-0.417748402
Butyrate Metabolism,-0.61502443,-0.226323861,-1.444284244,-0.159087947,-0.111398318,-0.546270755,-0.073071002,-1.655707413,-0.169937831,-0.008921904,-0.127689559,-0.14525007,-0.275677963,-1.326079303
Caffeine Metabolism,-0.169317646,-0.973545937,-1.441313054,-0.824875602,-0.056823382,-0.980085046,-0.591749554,-1.278133111,-0.218475179,-0.229423136,-0.813432507,-0.412997538,-0.621398473,-0.712063734
Cardiolipin Biosynthesis,-0.287124165,-0.630537637,-0.044517685,-0.329501018,-0.109445424,-0.639720672,-0.606647651,-1.182577815,-0.159287199,-0.044959293,-0.793998231,-0.359741331,-0.810139255,-1.486674955
Carnitine Synthesis,-0.649713636,-0.266700761,-0.378084537,-0.53288235,-0.118790014,-0.803211262,-0.315376434,-0.959480458,-0.63370313,-0.241505505,-0.3349501,-1.065189411,-0.636364184,-0.667297964
Catecholamine Biosynthesis,-1.641612597,-0.75824933,-1.344614868,-1.279610375,-1.565084254,-0.645028234,-0.657960087,-0.544019178,-1.557991546,-1.62336375,-0.514902443,-0.95371736,-0.365600244,-0.493582498
Citric Acid Cycle,-0.8285654,-1.429293868,-1.193770187,-0.454782584,-0.035925975,-3.446584407,-0.102479731,-2.890652101,-0.269846663,-0.15344194,-0.151957499,-0.021535766,-0.610995539,-1.821861258
Cysteine Metabolism,-0.767457286,-1.014181519,-0.991766904,-0.443522071,-0.173029508,-1.458192029,-0.336393835,-1.478653115,-0.157099734,-0.545753262,-0.607716135,-0.149162437,-0.588272764,-0.70964146
D-Arginine and D-Ornithine Metabolism,-0.168223177,-0.472166989,-1.596371571,-0.061319552,-0.481147506,-0.698544935,-0.165292986,-1.575573522,-0.599470232,-0.057282572,-0.183873412,-0.075830201,-0.65607076,-0.067788815
De Novo Triacylglycerol Biosynthesis,-0.066140181,-0.484297782,-0.075425421,-0.384503677,-0.16539982,-0.318784309,-1.096214262,-0.686825498,-0.099340999,-0.072620641,-1.322608594,-0.412198572,-0.539514698,-0.508973731
Estrone Metabolism,-0.43179407,-0.290142428,-1.484945188,-0.618054519,-0.681052853,-0.202195978,-0.434122952,-3.530246961,-0.47343662,-1.110351657,-0.604386781,-0.536198245,-0.520836323,-0.678538817
Ethanol Degradation,-0.099302641,-0.573365964,-0.337299104,-0.184407943,-0.364563801,-0.676376216,-0.277005966,-1.266805352,-0.101772568,-0.119598809,-0.305838921,-0.671215705,-0.646733764,-0.55104331
Fatty Acid Biosynthesis,-6.835747953,-2.199743044,-1.928834818,-5.916399792,-2.083315132,-2.075743614,-1.733391546,-0.056144708,-4.36969884,-6.596166611,-1.914828253,-0.731775001,-1.098835758,-1.730902749
Fatty Acid Elongation in Mitochondria,-0.2361174,-0.205380807,-0.551523884,-0.21360624,-0.131505028,-0.375025377,-0.168073096,-1.345194821,-0.354049692,-0.170505212,-0.169085747,-0.998420749,-0.674754449,-0.550914253
Fatty Acid Metabolism,-0.152364168,-0.287808826,-1.29637323,-0.134192797,-0.444224588,-0.680954339,-0.150892723,-1.084314636,-0.252523912,-0.117521277,-0.151985972,-0.78349342,-0.636364184,-1.118954545
Folate Metabolism,-0.245970837,-0.649369175,-1.444284244,-1.053842014,-0.522206327,-0.80952891,-1.585692858,-1.549362683,-0.169937831,-0.585312542,-1.629331649,-0.416112943,-0.147415365,-0.81369812
Fructose and Mannose Degradation,-0.743770949,-0.72116379,-0.306793389,-0.490616588,-1.617855368,-1.280380216,-0.058455178,-2.866452423,-0.239638921,-0.186512121,-0.201482305,-0.305850434,-0.940935258,-1.027275971
Galactose Metabolism,-0.54445053,-1.725120258,-0.249354949,-0.93357711,-0.739530433,-1.430614352,-0.478505472,-2.495923151,-0.211271831,-0.791665946,-0.717001869,-0.232413716,-0.269368635,-0.993794269
Gluconeogenesis,-0.817392528,-0.953055107,-0.10101176,-0.701172056,-0.215918465,-2.929927879,-0.597355903,-2.647049729,-0.269846663,-0.264392329,-0.743589137,-0.066859915,-1.024902484,-0.718103529
Glucose-Alanine Cycle,-0.680046591,-1.127297542,-0.028471096,-0.980598284,-0.267557745,-1.511803784,-0.388021513,-1.134526524,-0.634578513,-0.180854456,-0.471907731,-0.096835052,-0.375083056,-0.224744002
Glutamate Metabolism,-1.360473631,-0.867156642,-1.331344846,-0.20751461,-0.132833776,-1.05759685,-0.029978109,-3.910089731,-0.390249174,-0.229720082,-0.036870799,-0.218075024,-0.725723749,-0.539659995
Glutathione Metabolism,-0.499028123,-0.502068545,-2.098039149,-0.150024562,-0.12893435,-0.691293037,-0.059304007,-2.063958768,-0.221229494,-0.429673114,-0.059226462,-0.341002436,-0.451482682,-0.833421461
Glycerol Phosphate Shuttle,-0.305057561,-0.485988988,-1.501680331,-0.939961765,-0.611998823,-0.494201299,-1.574309039,-0.986643051,-0.884544421,-0.780689462,-1.896057878,-0.502565864,-0.870878948,-0.598978758
Glycerolipid Metabolism,-0.316089217,-0.593791156,-1.217998662,-1.217998662,-0.333002066,-0.794176972,-0.591503507,-1.36035714,-0.550709866,-0.509213833,-0.436759473,-0.34636568,-0.337710306,-1.645564348
Glycine and Serine Metabolism,-0.596329561,-0.701630479,-0.915104364,-0.291055656,-0.098666531,-1.521279722,-0.159555965,-2.148088863,-0.543485763,-0.236772169,-0.20407284,-0.824875602,-1.057562978,-0.161997254
Glycolysis,-0.416490949,-0.596990457,-0.067154366,-0.450173337,-0.382499597,-1.6350326,-0.45190898,-2.284820206,-0.289986758,-0.28079533,-0.475418523,-0.199162257,-0.660789289,-0.473552717
Histidine Metabolism,-0.332871531,-0.455073797,-1.193770187,-0.060717017,-0.427261967,-0.939369592,-0.255019746,-3.544029972,-0.159324262,-0.255019746,-0.487475646,-0.292139903,-0.976073868,-0.470713854
Homocysteine Degradation,-0.979069335,-0.294386906,-0.222609267,-0.424988376,-0.339829705,-0.341400235,-0.208612931,-0.317763657,-0.282217191,-0.296112789,-0.260599894,-0.093736531,-0.442921443,-0.155548785
Inositol Metabolism,-0.354712718,-0.611048237,-0.067985346,-0.067985346,-0.030206197,-0.955328895,-0.025151534,-1.26742246,-0.169937831,-0.01590107,-0.042502126,-0.051650319,-0.452318612,-0.72180905
Inositol Phosphate Metabolism,-0.475248382,-0.488595133,-0.047523927,-0.093515961,-0.071346024,-1.200902496,-0.029298905,-1.401634005,-0.118790014,-0.022646615,-0.040100589,-0.139047592,-0.592190506,-0.447437657
Ketone Body Metabolism,-1.637715403,-0.430492449,-0.254402336,-0.221795503,-0.066673656,-0.510530304,-0.27888069,-2.10804164,-0.394012748,-0.047595428,-0.414985427,-0.203984361,-1.489447321,-0.755207754
Lactose Degradation,-0.641796761,-1.135181333,-0.027765715,-0.245006498,-0.413388016,-1.709957405,-0.228168096,-0.875611225,-0.184169385,-0.316883673,-0.336565795,-0.3662527,-0.368638184,-0.5088248
Lactose Synthesis,-0.853287347,-0.632141855,-0.262743664,-0.209385207,-0.177204909,-0.98999058,-0.061902354,-1.890799409,-0.123289325,-0.174528857,-0.123994372,-0.143344497,-0.425726327,-0.815522381
Lysine Degradation,-0.785434822,-1.626024344,-1.33212466,-0.916116483,-0.13294535,-1.327374051,-0.186595215,-1.404711873,-0.395802693,-0.147992426,-0.491695393,-0.219592809,-1.281845103,-0.939276369
Malate-Aspartate Shuttle,-1.411036584,-2.041063534,-0.14652854,-0.938388242,-0.665073622,-2.555701745,-0.565649225,-0.456772651,-0.188298619,-0.502631248,-0.518827739,-0.021259361,-1.041087831,-1.161664488
Methionine Metabolism,-0.385566572,-0.67012549,-1.170884285,-0.081026563,-0.324247608,-0.67012549,-1.349547246,-1.986423246,-0.462996506,-0.290551137,-1.135687634,-0.137406067,-0.740134147,-0.395418536
Methylhistidine Metabolism,-0.144167403,-0.031486426,-0.16624136,-0.068458487,-0.11632964,-0.046070238,-0.163994757,-0.289099083,-0.391279886,-0.112095593,-0.177468988,-0.53916054,-0.458971606,-0.246064186
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,-0.360896366,-0.577250045,-1.29637323,-1.501680331,-0.444224588,-0.506560935,-0.31067016,-1.084314636,-0.118790014,-0.79530566,-0.260148151,-0.78349342,-0.636364184,-1.160277146
Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,-0.888620678,-0.62618998,-1.411036584,-0.905363323,-0.364563801,-0.676376216,-0.243353462,-1.117438444,-0.719579658,-1.271750454,-0.292802775,-0.621348743,-0.746072638,-0.915390485
Beta-Oxidation of Short Saturated Fatty Acids,-0.346748244,-0.731823667,-1.36272587,-0.922860425,-0.153506146,-1.47300521,-0.188940831,-1.117438444,-0.198112546,-0.49090242,-0.230043389,-0.52184663,-0.470103098,-0.915390485
Mitochondrial Electron Transport Chain,-0.199467257,-0.772589934,-1.489447321,-0.331157139,-0.473784445,-1.186986925,-0.555203398,-1.459014149,-0.152872616,-0.2461629,-0.676394895,-0.326609643,-0.588272764,-1.162554403
Nicotinate and Nicotinamide Metabolism,-0.421456737,-0.426619335,-1.300534739,-0.186308083,-0.163963497,-0.779794344,-0.125002957,-1.135293544,-0.557807145,-0.116165255,-0.124654138,-0.584350704,-0.787638093,-0.596945442
Nucleotide Sugars Metabolism,-0.888533387,-0.655281333,-0.794134215,-0.503126187,-0.442394302,-0.904613973,-0.15346374,-4.154808673,-0.080094023,-0.219738406,-0.380040987,-0.133897803,-0.626370473,-0.718183599
Oxidation of Branched-Chain Fatty Acids,-1.36193735,-0.411643439,-0.505407012,-1.489054634,-0.292186197,-0.90611966,-0.178389317,-1.069436996,-0.591120512,-0.239357615,-0.246304651,-0.868829578,-0.785528986,-1.503297569
Pantothenate and CoA Biosynthesis,-1.211575291,-0.688372118,-0.339685512,-1.955040999,-0.252787243,-0.653250652,-0.245145554,-0.785528986,-0.634442415,-1.613445118,-0.325826054,-0.331942305,-1.376531348,-1.188024638
Pentose Phosphate Pathway,-0.995993664,-1.208605164,-0.535592125,-0.524007763,-0.579634476,-2.033424961,-0.168888904,-1.859488263,-0.109232714,-0.669211309,-0.178974441,-0.419649438,-1.70055719,-0.664190508
Phenylacetate Metabolism,-0.099340999,-0.46585919,-0.112801057,-0.123049422,-1.170884285,-0.60243652,-0.188369965,-0.447011336,-0.436019383,-0.092640028,-0.142025226,-0.277443288,-1.622094378,-0.371936145
Phenylalanine and Tyrosine Metabolism,-0.967305539,-2.478485014,-1.33046761,-0.956372177,-1.474768044,-2.509074946,-1.20859163,-0.687550672,-0.206689818,-0.838505362,-1.33751914,-0.186374084,-2.121979811,-0.656421252
Phosphatidylcholine Biosynthesis,-1.146619871,-1.064573495,-0.251436626,-0.345748844,-0.519128162,-0.977119964,-0.209457114,-0.592093535,-0.187256466,-0.209373878,-0.291599178,-0.208105067,-0.385274442,-1.420124478
Phosphatidylethanolamine Biosynthesis,-1.302164539,-1.064573495,-0.301186182,-0.345748844,-0.728796988,-0.977119964,-0.48954195,-0.592093535,-0.118790014,-0.278248409,-0.291599178,-0.18586388,-0.421331531,-1.420124478
Phosphatidylinositol Phosphate Metabolism,-1.057625069,-0.488595133,-0.417074657,-0.087226924,-0.144860352,-1.501932491,-0.022271686,-2.586111647,-0.216775494,-0.064476045,-0.013900671,-0.194722768,-0.437812082,-0.643211207
Phospholipid Biosynthesis,-0.223913683,-0.068497015,-2.388667882,-0.267924707,-0.084059496,-0.047964977,-0.102214237,-3.274884354,-0.108277079,-0.163098077,-0.175343428,-0.566838106,-0.230734155,-0.78315761
Phytanic Acid Peroxisomal Oxidation,-0.516701679,-0.619081754,-0.376710836,-1.567442173,-0.140619985,-0.648433563,-0.252360276,-1.597667815,-0.534822861,-0.16721419,-0.338261476,-0.999606752,-0.675601588,-1.303054689
Plasmalogen Synthesis,-1.410487505,-1.245466859,-2.718098615,-3.037142481,-1.859141493,-1.015706824,-0.241512242,-0.507021913,-0.345435793,-1.827870933,-0.37317061,-0.902437165,-0.694787689,-0.560030695
Porphyrin Metabolism,-0.155336322,-0.228065149,-1.546668195,-0.098492722,-0.159849579,-0.550303848,-0.267572423,-3.634816327,-0.150827325,-0.09207749,-0.240990149,-0.114740332,-0.348663196,-0.827532704
Propanoate Metabolism,-0.806248413,-0.775022399,-1.149203169,-0.199855077,-0.088144197,-1.154640787,-0.16612224,-2.629623976,-0.34147401,-0.01840637,-0.139106727,-0.169058991,-0.680865555,-1.438937701
Pterine Biosynthesis,-1.266805352,-2.100754147,-1.185056344,-1.807474628,-1.168904673,-1.753568833,-1.067567813,-1.266805352,-0.970720459,-2.157667437,-1.161155461,-0.161764257,-0.846059081,-0.787784173
Purine Metabolism,-0.43038122,-1.206529797,-0.892163981,-0.149354963,-0.098197995,-2.747567565,-0.417167119,-3.436180008,-0.559688778,-0.106214748,-0.619199369,-0.574972434,-0.652314893,-1.004200269
Pyrimidine Metabolism,-1.128697423,-0.469896846,-0.993196474,-0.001546156,-0.128345958,-1.164626298,-0.004578273,-3.676153977,-0.401008264,-0.034873925,-0.006181648,-0.22251694,-0.974702461,-1.109860078
Pyruvaldehyde Degradation,-0.313150771,-0.747187801,-1.663755865,-0.865862437,-0.307361596,-1.961052782,-0.533486074,-1.709808791,-0.377828868,-0.169361272,-0.59844931,-0.014297831,-0.922860425,-0.315845049
Pyruvate Metabolism,-0.623271746,-1.527188256,-1.055270822,-0.604905276,-0.135074248,-2.726830769,-0.222660882,-2.414784318,-0.376023261,-0.13223745,-0.311890539,-0.030007871,-1.441677254,-1.342027688
Retinol Metabolism,-0.115907063,-0.362455375,-0.845508435,-0.28714236,-0.306339515,-0.321242525,-0.940944274,-1.200650335,-0.306159427,-0.148906502,-1.122965114,-0.689701975,-0.94566943,-0.893027887
Riboflavin Metabolism,-0.474004104,-0.841746628,-1.537629095,-0.737803272,-0.726220188,-0.788928331,-0.646392652,-1.110537011,-1.128609234,-1.007840406,-0.702660706,-0.447011336,-0.260810582,-0.935848132
Selenoamino Acid Metabolism,-1.345628615,-0.518324268,-0.293891646,-0.513252801,-0.477037853,-0.713860887,-0.141027681,-1.7628701,-0.472937456,-0.210617186,-0.164045497,-0.124783601,-0.470239678,-0.261520165
Spermidine and Spermine Biosynthesis,-0.106265547,-0.345701192,-0.467718825,-0.027154167,-0.552281315,-0.720465311,-0.679064895,-1.014599405,-0.054213125,-0.307749945,-0.6052603,-0.335084192,-1.088304304,-0.326952155
Sphingolipid Metabolism,-1.704900303,-0.579565664,-0.668114735,-0.409336106,-0.405678314,-0.805045771,-0.157312705,-2.742702126,-0.1090791,-0.709784414,-0.1090791,-0.638961626,-0.902929002,-0.665217766
Starch and Sucrose Metabolism,-0.529276515,-0.564663026,-0.588046923,-0.523301802,-0.300627741,-1.231511017,-0.269798772,-4.742630988,-0.233750841,-0.482672276,-0.445413904,-0.396335099,-0.333002066,-0.981742986
Steroid Biosynthesis,-0.274089432,-0.141812914,-1.102456065,-0.039938758,-0.218880779,-0.511548892,-0.049576078,-1.090353789,-0.308374909,-0.052396106,-0.06079005,-1.233780239,-0.357554999,-1.34586163
Steroidogenesis,-0.300143453,-0.557761028,-0.711795108,-3.645466371,-1.993588959,-1.22959267,-4.124123148,-1.308552724,-1.08070814,-2.307424876,-4.422297719,-4.050284532,-0.882136763,-3.297156244
Sulfate_Sulfite Metabolism,-0.577240183,-1.181037242,-0.300437102,-0.381339452,-0.513898258,-1.334480816,-0.307605598,-1.376453509,-0.050815295,-0.2456085,-0.349216148,-0.107553618,-0.195511721,-0.450557249
Taurine and Hypotaurine Metabolism,-0.432278875,-0.425001315,-1.954154291,-0.674031898,-1.308552724,-0.476154589,-0.617076061,-0.877047601,-2.040997692,-0.637368086,-0.658907931,-1.100214912,-0.15716628,-0.739497186
Thiamine Metabolism,-0.384606214,-0.681587313,-0.124543744,-0.055507414,-0.380946496,-0.889612769,-0.127728279,-0.986430681,-0.033861127,-0.158283465,-0.146321562,-0.223273417,-0.243366944,-0.683792069
Threonine and 2-Oxobutanoate Degradation,-0.700727063,-0.329082216,-1.540005517,-0.213855024,-0.185601154,-0.629736108,-0.132449157,-2.173841388,-0.135823354,-0.066493581,-0.207205264,-0.116091892,-0.522650852,-0.735473141
Thyroid Hormone Synthesis,-0.24504456,-0.717596614,-1.728122186,-0.16744814,-0.353190663,-0.564367536,-0.375607796,-1.585924071,-0.12140559,-0.267794647,-0.407660698,-0.399573243,-0.686414399,-0.108842965
Transfer of Acetyl Groups into Mitochondria,-0.456057552,-1.342353677,-0.205451265,-0.265879877,-0.079256231,-2.843758152,-0.078878509,-1.964068284,-0.187019029,-0.282339264,-0.182660339,-0.197222483,-0.543582065,-0.83332746
Trehalose Degradation,-0.501659089,-0.814787863,-0.033914418,-0.362033171,-0.472467129,-1.499813413,-0.171701491,-1.170732361,-0.133604441,-0.303291846,-0.269186384,-0.296537724,-0.644341993,-0.458969258
Tryptophan Metabolism,-1.016231347,-0.561927895,-1.650311943,-1.473683792,-0.64655613,-0.897484199,-0.531311241,-0.735735053,-1.423195045,-1.229788934,-0.836563379,-0.190700909,-1.265853294,-0.772918144
Tyrosine Metabolism,-2.520028187,-2.167481691,-1.007840406,-2.107152819,-1.007840406,-3.256914543,-1.188937375,-0.916245455,-2.367916505,-1.237349335,-1.516453732,-0.516046883,-0.958800391,-0.821010124
Ubiquinone Biosynthesis,-0.167823256,-0.012744315,-0.698869963,-0.418500564,-0.137072946,-0.032851457,-0.163994757,-1.740759483,-0.391279886,-0.112095593,-0.177468988,-0.351984977,-0.249218872,-0.246064186
Urea Cycle,-0.896986613,-1.594890459,-0.047071109,-0.524130383,-0.313231012,-2.573256559,-0.348363373,-1.23128579,-0.272665813,-0.312955607,-0.475496794,-0.051794625,-2.008912704,-0.573215629
"Valine, Leucine, and Isoleucine Degradation",-0.710152485,-0.443148405,-1.090291675,-0.165618608,-0.313666356,-0.57206628,-0.254617939,-1.583148985,-0.393251058,-0.0466216,-0.315151443,-0.336115501,-0.542694315,-0.76057309
Vitamin B6 Metabolism,-0.31370889,-0.699269979,-1.36272587,-1.122655836,-0.424305199,-0.680540405,-0.517032446,-0.657391447,-0.501722705,-0.659557675,-0.315845049,-0.315025651,-0.216143824,-0.207682171
Vitamin K Metabolism,-0.123867888,-0.402708153,-1.537629095,-0.247983243,-0.301752991,-0.49071729,-0.255301549,-1.99526018,-0.483479251,-0.084322059,-0.296112789,-0.556875805,-0.422615182,-0.355297192
Warburg Effect,-0.562971122,-2.280933826,-0.939465496,-0.279849813,-0.191099776,-3.645321124,-0.153713396,-3.538934719,-0.090753282,-0.063591038,-0.302584925,-0.056149756,-1.739368878,-1.231562784